Zip_Code,County,Area,List_Price,Year_Built,Bedrooms,Baths_Full,Baths_Partial,Closing_Date,Sold_Price,Closing_Year,Price_Difference
15301,Washington,Amwell,108000,1902,3,1,1,4/24/2015,179550,2015,-71550
15311,Washington,Amwell,59900,1979,3,2,,8/21/2015,42500,2015,17400
15314,Washington,Bentleyville,63900,1912,2,1,,8/11/2015,63900,2015,0
15314,Washington,Bentleyville,17000,1917,2,1,,4/10/2015,16000,2015,1000
15301,Washington,Buffalo Twp - WSH,113900,1982,3,3,,4/23/2015,110000,2015,3900
15323,Washington,Buffalo Twp - WSH,84900,1968,3,1,,3/25/2015,100200,2015,-15300
15021,Washington,Burgettstown Boro,34900,1948,2,1,,5/14/2015,30000,2015,4900
15021,Washington,Burgettstown Boro,15000,1942,3,1,,7/17/2015,23000,2015,-8000
15021,Washington,Burgettstown Boro,19500,1917,3,1,0,3/20/2015,14500,2015,5000
15417,Washington,California,35500,1922,3,1,,9/8/2015,34299,2015,1201
15419,Washington,California,20000,1923,3,3,,2/13/2015,20000,2015,0
15419,Washington,California,9900,1932,3,1,,2/26/2015,11000,2015,-1100
15317,Washington,Canonsburg,189900,2010,3,2,1,5/21/2015,200000,2015,-10100
15317,Washington,Canonsburg,192000,2005,4,2,1,1/15/2015,194000,2015,-2000
15317,Washington,Canonsburg,182000,2010,3,2,1,1/30/2015,176000,2015,6000
15317,Washington,Canonsburg,154900,1932,3,2,,9/18/2015,146000,2015,8900
15317,Washington,Canonsburg,100000,1952,3,2,1,8/20/2015,102500,2015,-2500
15317,Washington,Canonsburg,92000,1918,3,2,,4/10/2015,92000,2015,0
15317,Washington,Canonsburg,66780,1922,3,2,,3/31/2015,56863,2015,9917
15317,Washington,Canonsburg,35000,1942,3,1,1,6/30/2015,40000,2015,-5000
15317,Washington,Canonsburg,24900,1904,3,2,,2/16/2015,24800,2015,100
15317,Washington,Canonsburg,24900,1918,3,1,,7/8/2015,23000,2015,1900
15317,Washington,Canonsburg,17820,nan,3,1,,1/29/2015,19000,2015,-1180
15301,Washington,Canton Twp,45000,1956,3,1,,7/24/2015,52000,2015,-7000
15301,Washington,Canton Twp,35500,1979,3,2,,4/10/2015,44000,2015,-8500
15301,Washington,Canton Twp,29900,1927,2,1,,11/18/2015,38000,2015,-8100
15301,Washington,Canton Twp,39000,1926,3,1,,2/6/2015,36600,2015,2400
15301,Washington,Canton Twp,14000,1920,3,1,,7/27/2015,20000,2015,-6000
15063,Washington,Carroll Twp.,133100,1988,3,2,1,2/27/2015,158550,2015,-25450
15063,Washington,Carroll Twp.,109013,1962,3,2,1,3/30/2015,114465,2015,-5452
15063,Washington,Carroll Twp.,47900,1923,3,2,,2/11/2015,43400,2015,4500
15055,Washington,Cecil,170000,1990,4,2,,1/30/2015,175000,2015,-5000
15055,Washington,Cecil,149900,2000,3,2,1,2/25/2015,150900,2015,-1000
15055,Washington,Cecil,148900,1990,3,1,1,3/5/2015,142000,2015,6900
15017,Washington,Cecil,127500,2002,2,1,1,2/17/2015,127500,2015,0
15057,Washington,Cecil,103000,1968,3,2,,5/26/2015,90299,2015,12701
15321,Washington,Cecil,53000,1934,3,2,,1/15/2015,81624,2015,-28624
15057,Washington,Cecil,24000,1914,2,1,,6/30/2015,24588,2015,-588
15317,Washington,Cecil,9900,1915,4,1,1,3/6/2015,12000,2015,-2100
15427,Washington,Centerville,59900,1952,2,2,,7/10/2015,55000,2015,4900
15358,Washington,Centerville,25000,1930,2,1,,1/23/2015,23000,2015,2000
15333,Washington,Centerville,34900,1945,2,1,1,3/30/2015,10353,2015,24547
15358,Washington,Centerville,15600,1930,2,1,,6/23/2015,10000,2015,5600
15022,Washington,Charleroi Boro,14000,1944,3,1,0,8/14/2015,13000,2015,1000
15022,Washington,Charleroi Boro,10000,1903,3,1,,2/25/2015,9500,2015,500
15022,Washington,Charleroi Boro,12000,1912,2,2,,4/20/2015,8000,2015,4000
15342,Washington,Chartiers,54900,nan,3,2,,2/19/2015,54900,2015,0
15317,Washington,Chartiers,41600,1962,3,1,,10/9/2015,42009,2015,-409
15301,Washington,City of Washington,158000,1965,4,2,1,9/30/2015,155650,2015,2350
15301,Washington,City of Washington,65000,1960,2,1,,9/9/2015,65000,2015,0
15301,Washington,City of Washington,56000,1984,3,1,,6/19/2015,56000,2015,0
15301,Washington,City of Washington,50500,1922,2,1,1,5/8/2015,48299,2015,2201
15301,Washington,City of Washington,45900,nan,3,1,1,7/17/2015,46000,2015,-100
15301,Washington,City of Washington,39900,1983,3,1,,10/13/2015,35000,2015,4900
15301,Washington,City of Washington,31000,1903,3,2,,2/9/2015,31000,2015,0
15301,Washington,City of Washington,34900,1942,3,1,,1/14/2015,30000,2015,4900
15301,Washington,City of Washington,21200,1931,2,1,,2/4/2015,28784,2015,-7584
15301,Washington,City of Washington,21000,1923,2,1,,4/13/2015,21500,2015,-500
15323,Washington,Claysville,49900,nan,4,1,,9/24/2015,38000,2015,11900
15033,Washington,Donora,104500,1962,3,2,,12/4/2015,104500,2015,0
15033,Washington,Donora,24900,nan,2,1,,10/28/2015,22500,2015,2400
15033,Washington,Donora,27900,1943,2,1,0,9/21/2015,22000,2015,5900
15033,Washington,Donora,20000,1952,3,1,,7/17/2015,20000,2015,0
15033,Washington,Donora,8000,1923,2,1,,3/6/2015,6000,2015,2000
15033,Washington,Donora,4000,1908,4,1,1,7/1/2015,3800,2015,200
15033,Washington,Donora,5000,1913,4,1,,7/8/2015,3000,2015,2000
15331,Washington,Ellsworth Boro,16900,1902,2,1,,7/24/2015,14500,2015,2400
15331,Washington,Ellsworth Boro,6000,1902,3,1,,8/31/2015,6000,2015,0
15022,Washington,Fallowfield Twp.,179900,1923,3,2,1,1/29/2015,170000,2015,9900
15022,Washington,Fallowfield Twp.,75000,nan,3,1,,9/17/2015,75000,2015,0
15022,Washington,Fallowfield Twp.,45383,1959,3,1,,8/26/2015,18380,2015,27003
15022,Washington,Fallowfield Twp.,7000,1952,3,1,,4/13/2015,7000,2015,0
15332,Washington,Finleyville,94000,1960,3,1,1,9/18/2015,90000,2015,4000
15021,Washington,Hanover Twp - WSH,15000,1948,3,1,,2/18/2015,15000,2015,0
15342,Washington,Houston,89000,1922,2,1,,8/10/2015,81000,2015,8000
15301,Washington,Houston,19900,1946,3,1,,3/20/2015,31265,2015,-11365
15312,Washington,Independence - WSH,54900,1988,3,1,,10/29/2015,55643,2015,-743
15423,Washington,Long Branch Boro,92900,nan,3,2,,3/6/2015,92900,2015,0
15057,Washington,McDonald - WSH,10400,nan,3,1,,10/14/2015,16100,2015,-5700
15063,Washington,Monongahela,56180,1942,2,1,,2/13/2015,53594,2015,2586
15063,Washington,Monongahela,37500,1953,3,2,,2/20/2015,38025,2015,-525
15063,Washington,Monongahela,37900,1914,3,2,,11/13/2015,38001,2015,-101
15063,Washington,Monongahela,14400,1902,2,1,,8/10/2015,17000,2015,-2600
15378,Washington,Mt. Pleasant Twp - WAS,8000,1902,4,2,,5/22/2015,5000,2015,3000
15022,Washington,N Charleroi,5000,1923,3,1,,1/23/2015,2500,2015,2500
15301,Washington,N Franklin Twp,29900,1903,5,2,,2/18/2015,35150,2015,-5250
15301,Washington,N Franklin Twp,31500,1920,3,1,,7/2/2015,35101,2015,-3601
15301,Washington,N Franklin Twp,34900,1922,3,1,,5/28/2015,33900,2015,1000
15301,Washington,N Franklin Twp,19900,1923,2,1,,4/29/2015,11200,2015,8700
15301,Washington,N Franklin Twp,5250,1932,2,1,,6/9/2015,10100,2015,-4850
15067,Washington,New Eagle,134900,1970,3,2,,7/16/2015,146000,2015,-11100
15067,Washington,New Eagle,38500,1946,2,1,,4/24/2015,35000,2015,3500
15360,Washington,North Bethlehem,44900,1907,3,1,1,6/3/2015,70000,2015,-25100
15317,Washington,North Strabane,231080,2001,3,3,1,1/19/2015,226500,2015,4580
15317,Washington,North Strabane,203900,2003,4,2,1,11/18/2015,210500,2015,-6600
15317,Washington,North Strabane,134900,1975,3,2,,10/27/2015,120000,2015,14900
15317,Washington,North Strabane,105900,1972,3,1,,12/29/2015,107900,2015,-2000
15317,Washington,North Strabane,110000,1975,3,1,1,12/18/2015,102000,2015,8000
15317,Washington,North Strabane,64900,1958,2,2,1,1/15/2015,96500,2015,-31600
15317,Washington,North Strabane,85000,1952,3,1,,9/11/2015,94000,2015,-9000
15332,Washington,Nottingham,89000,nan,3,1,1,10/30/2015,82000,2015,7000
15317,Washington,Peters Twp,489900,2007,4,4,1,10/2/2015,469900,2015,20000
15367,Washington,Peters Twp,509900,2008,4,3,1,7/7/2015,460000,2015,49900
15367,Washington,Peters Twp,445200,2006,4,,,6/12/2015,388500,2015,56700
15367,Washington,Peters Twp,350000,2005,4,2,2,2/27/2015,335000,2015,15000
15317,Washington,Peters Twp,349900,2001,4,4,1,11/12/2015,320000,2015,29900
15317,Washington,Peters Twp,359900,1980,5,4,3,9/18/2015,319200,2015,40700
15367,Washington,Peters Twp,257700,1995,4,2,1,7/17/2015,236250,2015,21450
15367,Washington,Peters Twp,292300,2004,4,2,2,2/4/2015,228900,2015,63400
15317,Washington,Peters Twp,221540,1982,4,2,1,7/6/2015,214524,2015,7016
15367,Washington,Peters Twp,138500,1979,3,2,,12/10/2015,135000,2015,3500
15317,Washington,Peters Twp,125000,1963,3,2,,4/30/2015,128500,2015,-3500
15317,Washington,Peters Twp,119900,1973,3,2,,10/14/2015,112000,2015,7900
15317,Washington,Peters Twp,109500,1963,4,1,,7/28/2015,100000,2015,9500
15317,Washington,Peters Twp,43000,1957,3,1,1,12/4/2015,92243,2015,-49243
15317,Washington,Peters Twp,86000,1957,3,1,1,12/8/2015,86000,2015,0
15021,Washington,Smith,60400,1919,3,1,,2/20/2015,43000,2015,17400
15021,Washington,Smith,27900,1903,3,2,,3/3/2015,35500,2015,-7600
15054,Washington,Smith,40000,1907,3,1,1,11/23/2015,30000,2015,10000
